scenario_name,scenario_slug,description,month,baseline_income,baseline_expenses,baseline_profit,baseline_margin,projected_income,projected_expenses,projected_profit,projected_margin,risk_level,salary_expense,marketing_expense,infrastructure_expense,software_expense,other_content_expense,other_support_expense,marketing_budget_change_pct,dynamic_pricing_rollout_pct,new_pack_launches,cost_control_pct,salary_optimization_pct,market_demand_shock_pct,support_automation_pct,focus_top_market_pct
Base Plan,base-plan,Keep the current finance forecast unchanged and use it as the benchmark.,2026-07,42751.85,23846.76,18905.09,44.22,42751.85,23846.76,18905.09,44.22,LOW,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Base Plan,base-plan,Keep the current finance forecast unchanged and use it as the benchmark.,2026-08,42459.58,30993.05,11466.52,27.01,42459.58,30993.05,11466.52,27.01,MEDIUM,17849.4,4097.53,3025.06,1200.72,3313.92,1506.43,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Base Plan,base-plan,Keep the current finance forecast unchanged and use it as the benchmark.,2026-09,41534.34,30778.83,10755.51,25.9,41534.34,30778.83,10755.51,25.9,MEDIUM,17621.89,4253.47,2740.9,1192.46,3423.89,1546.22,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Base Plan,base-plan,Keep the current finance forecast unchanged and use it as the benchmark.,2026-10,42991.61,33105.51,9886.1,23.0,42991.61,33105.51,9886.1,23.0,MEDIUM,19055.34,4529.29,2990.81,1254.7,3592.92,1682.45,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Base Plan,base-plan,Keep the current finance forecast unchanged and use it as the benchmark.,2026-11,41277.78,32575.61,8702.17,21.08,41277.78,32575.61,8702.17,21.08,MEDIUM,18967.26,4441.5,2873.05,1234.47,3427.72,1631.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Base Plan,base-plan,Keep the current finance forecast unchanged and use it as the benchmark.,2026-12,42426.81,33557.9,8868.91,20.9,42426.81,33557.9,8868.91,20.9,MEDIUM,19487.74,4608.66,2983.32,1219.26,3556.26,1702.66,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Dynamic Pricing Rollout,dynamic-pricing-rollout,Apply the pack pricing model to most of the catalog while keeping spend nearly flat.,2026-07,42751.85,23846.76,18905.09,44.22,48494.79,24424.24,24070.55,49.64,LOW,12558.63,3543.5,2671.35,1145.39,2895.84,1059.9,2.0,85.0,0,2.0,0.0,2.0,4.0,4.0
Dynamic Pricing Rollout,dynamic-pricing-rollout,Apply the pack pricing model to most of the catalog while keeping spend nearly flat.,2026-08,42459.58,30993.05,11466.52,27.01,47989.23,30931.51,17057.72,35.54,LOW,17753.08,4198.92,3039.13,1173.6,3382.3,1459.62,2.0,85.0,0,2.0,0.0,2.0,4.0,4.0
Dynamic Pricing Rollout,dynamic-pricing-rollout,Apply the pack pricing model to most of the catalog while keeping spend nearly flat.,2026-09,41534.34,30778.83,10755.51,25.9,47882.32,31000.88,16881.44,35.26,LOW,17526.79,4358.71,2753.65,1165.53,3494.54,1498.18,2.0,85.0,0,2.0,0.0,2.0,4.0,4.0
Dynamic Pricing Rollout,dynamic-pricing-rollout,Apply the pack pricing model to most of the catalog while keeping spend nearly flat.,2026-10,42991.61,33105.51,9886.1,23.0,48319.63,33479.41,14840.22,30.71,MEDIUM,18952.51,4641.36,3004.72,1226.36,3667.05,1630.17,2.0,85.0,0,2.0,0.0,2.0,4.0,4.0
