pack_id,title,category_id,category_name,level,primary_skill,original_price,current_sale_price,current_discount_pct,recommended_sale_price,recommended_discount_pct,discount_range_min_pct,discount_range_max_pct,recommended_band,price_action,baseline_conversion_rate,recommended_conversion_rate,baseline_expected_revenue,recommended_expected_revenue,revenue_lift_pct,conversion_lift_pct,pricing_confidence,market_demand_score,market_avg_roi,market_course_count,scenario_count,pricing_rank
5,Data Analytics Professional Certificate,2,Data and AI,BEGINNER,data-science,199.99,129.99,35.0018,174.99,12.5,10.0,15.0,margin protect,increase,0.471814,0.845283,20852.57,50291.45,141.1763,79.156,0.686354,0.76633,99.125,12,15,1
6,Machine Learning Engineering Masterclass,2,Data and AI,INTERMEDIATE,machine-learning,349.99,249.99,28.5722,297.49,15.0,12.5,15.0,margin protect,increase,0.487342,0.700151,41422.41,70817.87,70.9651,43.6672,0.698798,0.828213,98.9688,16,15,2
10,Microsoft Azure Fundamentals AZ-900,3,Cloud,BEGINNER,aws,149.99,99.99,33.3356,116.24,22.5,22.5,22.5,balanced growth,increase,0.390058,0.563128,13260.64,22255.73,67.833,44.3705,0.647637,0.250718,100.0,7,15,3
3,Python & Django Backend Development,1,Web Development,INTERMEDIATE,python,249.99,179.99,28.0011,218.74,12.5,10.0,15.0,margin protect,increase,0.709271,0.841995,43404.98,62620.52,44.2704,18.7127,0.705121,0.932854,92.5306,49,15,4
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,112.49,25.0,22.5,27.5,balanced growth,increase,0.442006,0.556079,15026.72,21268.15,41.5355,25.808,0.612465,0.246909,83.6462,26,15,5
18,Business Strategy & Planning Fundamentals,6,Business,BEGINNER,general,199.99,129.99,35.0018,149.99,25.0,25.0,27.5,balanced growth,increase,0.501922,0.612232,22183.23,31221.74,40.7448,21.9776,0.650679,0.362465,62.5,4,15,6
9,AWS Solutions Architect Certification Prep,3,Cloud,INTERMEDIATE,aws,299.99,199.99,33.3344,232.49,22.5,22.5,25.0,balanced growth,increase,0.459563,0.548732,31248.73,43375.37,38.8068,19.4029,0.622862,0.250718,100.0,7,15,7
23,Social Media Marketing Mastery,7,Marketing,BEGINNER,general,179.99,119.99,33.3352,139.49,22.5,22.5,27.5,balanced growth,increase,0.501308,0.591742,20451.68,28064.32,37.2226,18.0396,0.630548,0.362465,62.5,4,15,8
2,Full-Stack JavaScript Mastery,1,Web Development,INTERMEDIATE,react,299.99,199.99,33.3344,224.99,25.0,22.5,27.5,balanced growth,increase,0.489827,0.533903,33306.6,40841.8,22.6237,8.9983,0.614997,0.246909,83.6462,26,15,9
21,Digital Marketing Complete Guide,7,Marketing,BEGINNER,general,249.99,169.99,32.0013,187.49,25.0,22.5,27.5,balanced growth,increase,0.617235,0.616087,35674.07,39273.44,10.0896,-0.186,0.63647,0.362465,62.5,4,15,10
24,UI/UX Design with Figma,8,Design,BEGINNER,general,249.99,169.99,32.0013,187.49,25.0,22.5,27.5,balanced growth,increase,0.620032,0.617279,35835.73,39349.42,9.805,-0.444,0.638444,0.362465,62.5,4,15,11
12,CompTIA Security+ Certification Prep,4,Cybersecurity,BEGINNER,general,199.99,139.99,30.0015,149.99,25.0,22.5,25.0,balanced growth,increase,0.62616,0.629085,29803.08,32081.21,7.6439,0.4672,0.634138,0.362465,62.5,4,15,12
4,Next.js Advanced Full-Stack Development,1,Web Development,ADVANCED,react,279.99,219.99,21.4293,216.99,22.5,22.5,22.5,balanced growth,hold,0.487752,0.524682,36482.18,38709.24,6.1045,7.5715,0.652765,0.246909,83.6462,26,15,13
15,Flutter & Dart Mobile Development,5,Mobile Development,INTERMEDIATE,react,279.99,199.99,28.5724,216.99,22.5,22.5,25.0,balanced growth,increase,0.579501,0.565029,39404.11,41685.88,5.7907,-2.4974,0.625442,0.246909,83.6462,26,15,14
17,React Native Cross-Platform Development,5,Mobile Development,INTERMEDIATE,react,249.99,179.99,28.0011,193.74,22.5,22.5,25.0,balanced growth,increase,0.587057,0.572998,35925.88,37744.29,5.0616,-2.3948,0.626028,0.246909,83.6462,26,15,15
19,Project Management Professional (PMP) Prep,6,Business,INTERMEDIATE,general,249.99,179.99,28.0011,193.74,22.5,22.5,25.0,balanced growth,increase,0.630277,0.608056,38570.84,40053.65,3.8444,-3.5256,0.632365,0.362465,62.5,4,15,16
22,Advanced SEO & Growth Marketing,7,Marketing,INTERMEDIATE,general,279.99,199.99,28.5724,216.99,22.5,22.5,27.5,balanced growth,increase,0.61594,0.589408,41881.82,43484.53,3.8267,-4.3075,0.631016,0.362465,62.5,4,15,17
26,DevOps Engineering Bootcamp,9,DevOps,INTERMEDIATE,aws,319.99,229.99,28.1259,247.99,22.5,22.5,25.0,balanced growth,increase,0.55916,0.538149,43724.4,45374.92,3.7748,-3.7575,0.62193,0.250718,100.0,7,15,18
14,SOC Analyst & Incident Response Mastery,4,Cybersecurity,ADVANCED,general,399.99,299.99,25.0006,289.99,27.5,27.5,30.0,conversion push,decrease,0.436229,0.467028,44493.85,46047.33,3.4914,7.0602,0.643573,0.362465,62.5,4,15,19
27,Certified Kubernetes Administrator (CKA) Prep,9,DevOps,ADVANCED,aws,299.99,219.99,26.6676,232.49,22.5,22.5,26.6676,balanced growth,increase,0.552893,0.53354,41354.49,42174.53,1.983,-3.5002,0.624976,0.250718,100.0,7,15,20
7,Deep Learning & NLP with Python,2,Data and AI,ADVANCED,deep-learning,399.99,299.99,25.0006,289.99,27.5,25.0,27.5,balanced growth,decrease,0.365022,0.383315,37231.0,37793.58,1.5111,5.0116,0.627728,0.230267,98.5,1,15,21
16,iOS App Development with Swift,5,Mobile Development,INTERMEDIATE,react,299.99,219.99,26.6676,224.99,25.0,22.5,27.5,balanced growth,hold,0.565701,0.560021,42312.53,42839.73,1.246,-1.004,0.612946,0.246909,83.6462,26,15,22
